LAT LON SECMEAN AG.TOT AV.DEP LK.HA POPDENKM URB.TOT ELEV TOT.RD CAL.R MICRO.R ROT.R SMCLAD.R SMCYC.R MACRO.R
44.0921 -74.0671 4.25 0 8.12 104.48 0.2 0 553 4906.6 1 15 13 1 1 6
44.1694 -75.1402 3.6 0 1.62 8.01 0 0 424 229.04 1 15.667 13.667 1.3333 0.66667 6.3333
44.0452 -74.7745 2.75 0 6.26 222.79 0.05 0 533 17640 1 12 7 4 1 8
43.6473 -73.7372 2.95 0 4.83 20.64 9.74 0 290 21270 1 17 16 0 1 8
43.234 -73.996 0.65 0 0.56 3.58 1.54 0 479 764.96 0 19 13 6 0 3
41.5724 -74.982 1.615 0 2.69 19.29 0.28 0 375 2593.6 0 18.5 15 2.5 1 6
42.7766 -75.4961 2.9 59.35 6.59 15.47 12.41 0 332 6272.2 0 23 21 2 0 6
42.7746 -76.1355 3.71 52.6 4.64 91.22 74.91 8.11 363 56633 2 31 28 3 0 9
42.5615 -78.8519 1.985 68.08 4.73 19.66 14.39 0 369 13941 1 10 7.5 2.25 0 5.75
43.6504 -74.9103 6.26 0 6.36 10.79 0 0 494 726.17 2 23 21 1 1 7
43.659 -74.8837 4.85 0 2.6 4.53 0 0 627 0 2 5 3 2 0 8
43.6891 -74.9212 4.33 0 15.78 280.61 1.05 1.29 545 16664 2 12 10 1 1 10
44.0942 -74.6427 5.45 0 11.74 62.7 0 0 545 0 2 23 22 1 0 8
44.1144 -74.6548 1.9 0 4.73 99.58 0.04 0 516 65771 2 26 23.5 1.75 0.75 11
43.4084 -74.5526 3.8 0.15 19.4 1057.3 2.27 1.72 506 72451 3 33 28 4 1 11
43.1252 -76.4823 1.58 54.35 7.89 781.13 53.3 4.66 114 0 3 21 17 3 0 11
43.7409 -74.8816 5.25 0 12.99 840.51 5.72 4.14 520 113870 3 27 23 3 1 13
44.3352 -75.3518 5.2 0 4.64 37.76 2.14 0 176 118.76 2 22 17 4 1 8
44.0415 -73.6042 2.25 0 4.78 1.99 1.16 0 365 917.57 1 28 24 3 1 5
43.9877 -74.2416 3.4 0 2.6 47.93 0.42 0 514 1497.4 3 16 13 3 0 9
43.9801 -74.2759 1.3 0 0.84 32.23 0.33 0 507 26415 2 33 27 6 0 8
43.9655 -74.9824 4.9 0 3.76 10.07 0.09 0 630 0 1 12 11 1 0 3
43.8554 -74.5636 2.85 0 2.88 54.7 0 0 548 0 2 18 13 4 1 9
43.7951 -75.2912 0.65 16.52 2 7.23 1.22 0 373 2828.4 1 26 23 3 0 6
43.5889 -74.5637 4.64 0 5.8 44.61 0.09 0 753 2954.6 1 18 16 1 1 7
43.5525 -74.5421 3.89 0 3.02 11.98 0.13 0 695 410.59 2 5 5 0 0 9
43.3826 -74.9086 6.12 0 3.16 1.43 0.15 0 411 219.72 2 7 5 2 0 4
41.90528 -71.58 1.27 4.87 0.7 6.29 27.981 0 120 5819.6 0.33333 16.333 15.333 0 0.66667 1
41.88278 -71.53694 2.7 3.57 1.53 4.28 392.07 40.82 66 20451 0 20.667 14 5.3333 1 3.3333
41.5375 -71.17694 1.8 34.74 3.67 149.74 51.29 0.91 15 14046 1 21 17.333 3 0.33333 5.3333
41.79167 -71.43333 1.3 0 1.86 30.77 3388.5 91.45 12 69601 2 17 11 4 1 5
